ASVID,Domain,Phylum,Class,Order,Family,Genus,Species
ASV_404,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Lacibacter,D_6__uncultured bacterium
ASV_405,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Lacibacter,NA
ASV_406,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Niastella,D_6__uncultured bacterium
ASV_407,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Parafilimonas,D_6__uncultured bacterium
ASV_408,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Parasegetibacter,Ambiguous_taxa
ASV_409,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Sediminibacterium,D_6__uncultured Bacteroidetes bacterium
ASV_410,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Sediminibacterium,NA
ASV_411,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Segetibacter,Ambiguous_taxa
ASV_412,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Segetibacter,D_6__uncultured soil bacterium
ASV_413,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Segetibacter,NA
ASV_414,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Terrimonas,Ambiguous_taxa
ASV_415,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Terrimonas,D_6__metagenome
ASV_416,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Terrimonas,D_6__uncultured bacterium
ASV_417,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__Terrimonas,NA
ASV_418,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__Chitinophaga sp. BN130233
ASV_419,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__Chitinophagaceae bacterium BLB-2F4-1
ASV_420,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__Sphingobacterium sp. P-7
ASV_421,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__Terrimonas sp. 16-45A
ASV_422,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__bacterium enrichment culture clone D8
ASV_423,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__estrogen-degrading bacterium KC2
ASV_424,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__metagenome
ASV_425,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,D_6__uncultured Sphingobacterium sp.
ASV_426,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,D_5__uncultured,NA
ASV_427,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Chitinophagaceae,NA,NA
ASV_428,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__Haliscomenobacter,Ambiguous_taxa
ASV_429,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__Haliscomenobacter,NA
ASV_430,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__OLB8,NA
ASV_431,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__Phaeodactylibacter,D_6__metagenome
ASV_432,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,Ambiguous_taxa
ASV_433,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__bacterium enrichment culture clone SRAO_34
ASV_434,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__filamentous bacterium Plant1 Iso8
ASV_435,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__metagenome
ASV_436,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__uncultured Cytophaga sp.
ASV_437,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__uncultured Haliscomenobacter sp.
ASV_438,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__uncultured Saprospiraceae bacterium
ASV_439,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__uncultured bacterium
ASV_440,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__uncultured soil bacterium
ASV_441,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,D_6__wastewater metagenome
ASV_442,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__Saprospiraceae,D_5__uncultured,NA
ASV_443,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__uncultured,Ambiguous_taxa,Ambiguous_taxa
ASV_444,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__uncultured,D_5__uncultured Cytophagales bacterium,D_6__uncultured Cytophagales bacterium
ASV_445,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__uncultured,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_446,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__uncultured,D_5__uncultured delta proteobacterium,D_6__uncultured delta proteobacterium
ASV_447,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__uncultured,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_448,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,D_4__uncultured,NA,NA
ASV_449,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales,NA,NA,NA
ASV_450,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Amoebophilaceae,D_5__Candidatus Amoebophilus,NA
ASV_451,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cyclobacteriaceae,D_5__Algoriphagus,D_6__uncultured bacterium
ASV_452,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cyclobacteriaceae,D_5__Algoriphagus,NA
ASV_453,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cyclobacteriaceae,D_5__Reichenbachiella,NA
ASV_454,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cyclobacteriaceae,D_5__uncultured,D_6__uncultured soil bacterium
ASV_455,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cytophagaceae,D_5__Cytophaga,Ambiguous_taxa
ASV_456,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cytophagaceae,D_5__Cytophaga,D_6__metagenome
ASV_457,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cytophagaceae,D_5__Cytophaga,D_6__uncultured bacterium
ASV_458,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cytophagaceae,D_5__Cytophaga,NA
ASV_459,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cytophagaceae,D_5__Rhodocytophaga,D_6__uncultured bacterium
ASV_460,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Cytophagaceae,D_5__Sporocytophaga,D_6__uncultured bacterium
ASV_461,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Adhaeribacter,D_6__Hymenobacter sp. 29F
ASV_462,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Adhaeribacter,D_6__metagenome
ASV_463,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Adhaeribacter,D_6__uncultured bacterium
ASV_464,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Adhaeribacter,D_6__uncultured soil bacterium
ASV_465,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Adhaeribacter,NA
ASV_466,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Hymenobacter,D_6__Hymenobacter sp. R-36960
ASV_467,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Hymenobacter,D_6__metagenome
ASV_468,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Hymenobacteraceae,D_5__Hymenobacter,NA
ASV_469,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__Chryseolinea,NA
ASV_470,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__OLB12,D_6__uncultured Bacteroidetes bacterium
ASV_471,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__OLB12,D_6__uncultured bacterium
ASV_472,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__OLB12,NA
ASV_473,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__Ohtaekwangia,Ambiguous_taxa
ASV_474,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__Ohtaekwangia,D_6__metagenome
ASV_475,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__Ohtaekwangia,NA
ASV_476,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__uncultured,Ambiguous_taxa
ASV_477,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__uncultured,D_6__metagenome
ASV_478,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__uncultured,D_6__uncultured Cyclobacteriaceae bacterium
ASV_479,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__uncultured,D_6__uncultured Flexibacteraceae bacterium
ASV_480,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__uncultured,D_6__uncultured soil bacterium
ASV_481,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,D_5__uncultured,NA
ASV_482,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Microscillaceae,NA,NA
ASV_483,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Arcicella,NA
ASV_484,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Dyadobacter,NA
ASV_485,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Emticicia,D_6__uncultured bacterium
ASV_486,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Emticicia,NA
ASV_487,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Lacihabitans,NA
ASV_488,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Runella,NA
ASV_489,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Spirosoma,D_6__uncultured bacterium
ASV_490,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__Spirosoma,NA
ASV_491,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_492,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__uncultured,Ambiguous_taxa
ASV_493,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,D_4__Spirosomaceae,D_5__uncultured,D_6__uncultured bacterium
ASV_494,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Cytophagales,NA,NA,NA
ASV_495,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Crocinitomicaceae,D_5__Fluviicola,D_6__Fluviicola sp.
ASV_496,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Crocinitomicaceae,D_5__Fluviicola,D_6__uncultured Cryomorphaceae bacterium
ASV_497,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Crocinitomicaceae,D_5__Fluviicola,D_6__uncultured Fluviicola sp.
ASV_498,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Crocinitomicaceae,D_5__Fluviicola,NA
ASV_499,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Actibacter,D_6__uncultured bacterium
ASV_500,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium caeni
ASV_501,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium indicum
ASV_502,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium sp. BF134
ASV_503,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium sp. HMDA3
ASV_504,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium sp. ICM 1102
ASV_505,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium sp. S4
ASV_506,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium sp. TAPY6
ASV_507,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium sp. THG-DN6.19
ASV_508,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__Flavobacterium sp. WB2.1-19
ASV_509,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__bacterium enrichment culture clone NSS3-1
ASV_510,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__uncultured Flavobacteriaceae bacterium
ASV_511,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,D_6__uncultured bacterium FukuN36
ASV_512,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,D_5__Flavobacterium,NA
ASV_513,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Flavobacteriaceae,NA,NA
ASV_514,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__NS9 marine group,D_5__metagenome,D_6__metagenome
ASV_515,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__NS9 marine group,D_5__uncultured Bacteroidetes bacterium,D_6__uncultured Bacteroidetes bacterium
ASV_516,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__NS9 marine group,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_517,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__NS9 marine group,NA,NA
ASV_518,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__Chryseobacterium,D_6__Chryseobacterium soldanellicola
ASV_519,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__Chryseobacterium,D_6__Chryseobacterium sp. T85L.09.P.BNT.GC.H.Gill.D.M
ASV_520,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__Chryseobacterium,NA
ASV_521,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__Cloacibacterium,NA
ASV_522,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,D_4__Weeksellaceae,D_5__uncultured,D_6__Chishuiella sp. YIM 102668
ASV_523,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Flavobacteriales,NA,NA,NA
ASV_524,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,Ambiguous_taxa,Ambiguous_taxa
ASV_525,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,D_5__metagenome,D_6__metagenome
ASV_526,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,D_5__uncultured Bacteroidetes bacterium,D_6__uncultured Bacteroidetes bacterium
ASV_527,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,D_5__uncultured Sphingobacteriales bacterium,D_6__uncultured Sphingobacteriales bacterium
ASV_528,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_529,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__AKYH767,NA,NA
ASV_530,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__KD3-93,Ambiguous_taxa,Ambiguous_taxa
ASV_531,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__KD3-93,D_5__uncultured Bacteroidetes bacterium,D_6__uncultured Bacteroidetes bacterium
ASV_532,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Lentimicrobiaceae,D_5__uncultured Sphingobacteriales bacterium,D_6__uncultured Sphingobacteriales bacterium
ASV_533,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Lentimicrobiaceae,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_534,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Lentimicrobiaceae,NA,NA
ASV_535,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__LiUU-11-161,D_5__uncultured Bacteroidetes bacterium,D_6__uncultured Bacteroidetes bacterium
ASV_536,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__NS11-12 marine group,Ambiguous_taxa,Ambiguous_taxa
ASV_537,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__NS11-12 marine group,NA,NA
ASV_538,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Sphingobacteriaceae,D_5__Mucilaginibacter,NA
ASV_539,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Sphingobacteriaceae,D_5__Pedobacter,D_6__Pedobacter ginsengiterrae
ASV_540,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Sphingobacteriaceae,D_5__Pedobacter,NA
ASV_541,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__Sphingobacteriaceae,D_5__uncultured,D_6__uncultured bacterium
ASV_542,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__env.OPS 17,Ambiguous_taxa,Ambiguous_taxa
ASV_543,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__env.OPS 17,D_5__uncultured bacterium,D_6__uncultured bacterium
ASV_544,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__env.OPS 17,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_545,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,D_4__env.OPS 17,NA,NA
ASV_546,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Sphingobacteriales,NA,NA,NA
ASV_547,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,NA,NA,NA,NA
ASV_548,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Ignavibacteriales,D_4__Ignavibacteriaceae,D_5__Ignavibacterium,D_6__uncultured soil bacterium
ASV_549,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Ignavibacteriales,D_4__Ignavibacteriaceae,D_5__Ignavibacterium,NA
ASV_550,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Ignavibacteriales,D_4__PHOS-HE36,NA,NA
ASV_551,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Ignavibacteriales,NA,NA,NA
ASV_552,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Kryptoniales,D_4__BSV26,D_5__uncultured Bacteroidetes bacterium,D_6__uncultured Bacteroidetes bacterium
ASV_553,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Kryptoniales,D_4__BSV26,D_5__uncultured Chlorobi bacterium,D_6__uncultured Chlorobi bacterium
ASV_554,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Kryptoniales,D_4__BSV26,D_5__uncultured prokaryote,D_6__uncultured prokaryote
ASV_555,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Kryptoniales,D_4__BSV26,D_5__uncultured soil bacterium,D_6__uncultured soil bacterium
ASV_556,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Kryptoniales,D_4__BSV26,NA,NA
ASV_557,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Kryptoniales,D_4__MSB-3C8,D_5__metagenome,D_6__metagenome
ASV_558,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__Kryptoniales,D_4__MSB-3C8,NA,NA
ASV_559,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__OPB56,D_4__uncultured bacterium KF-JG30-B11,D_5__uncultured bacterium KF-JG30-B11,D_6__uncultured bacterium KF-JG30-B11
ASV_560,D_0__Bacteria,D_1__Bacteroidetes,D_2__Ignavibacteria,D_3__OPB56,D_4__uncultured bacterium,D_5__uncultured bacterium,D_6__uncultured bacterium
